Target;Source
recordor;Biard, Gorran
rectitudo;Biard, Maurit
redemptio;Gorran, Petrus
refrigerium;Maurit, Petrus
refugium;Maurit, Petrus
regimen;Maurit, Petrus
regno;Alanus, Maurit
regulus;Alanus, Angel
renis;Alanus, Angel
repello;Biard, Maurit
reprobatio;Maurit, Petrus
reptilis;Alanus, Angel
res;Alanus, Biard
respectus;Maurit, Petrus
respondeo;Biard, Petrus
rete;Alanus, Angel
retributio;Angel, Maurit
reuersio;Biard, Maurit
rhamnus;Alanus, Angel
rosa;Alanus, Angel
rota;Alanus, Angel
rubor;Angel, Maurit
rugitus;Angel, Maurit
rupes;Alanus, Angel
sacramentum;Alanus, Petrus
sacrifico;Alanus, Petrus
sacrus;Alanus, Petrus
saliunca;Alanus, Angel
salix;Alanus, Angel
salus;Alanus, Petrus
sanitas;Alanus, Gorran
sapphirus;Alanus, Angel
saturitas;Biard, Maurit
saxum;Alanus, Angel
scabellum;Alanus, Angel
scapula;Alanus, Angel
scintilla;Alanus, Angel
scio;Alanus, Petrus
scorpio;Alanus, Angel
scribo;Alanus, Petrus
scrutor;Alanus, Petrus
secundus;Alanus, Petrus
securis;Alanus, Angel
seduco;Biard, Maurit
semel;Alanus, Petrus
semino;Alanus, Biard
semper;Gorran, Petrus
senex;Alanus, Angel
separo;Biard, Petrus
septem;Biard, Petrus
sermo;Alanus, Petrus
serra;Alanus, Angel
seruio;Biard, Petrus
seruitus;Maurit, Petrus
sicut;Alanus, Petrus
significatio;Biard, Petrus
significo;Biard, Petrus
similiter;Alanus, Petrus
similitudo;Alanus, Petrus
simplicitas;Biard, Maurit
sinister;Alanus, Angel
sino;Alanus, Biard
solitudo;Alanus, Angel
solium;Alanus, Angel
solus;Biard, Petrus
somnus;Alanus, Angel
sompnus;Biard, Maurit
sopor;Alanus, Maurit
soror;Alanus, Angel
sors;Alanus, Maurit
speculum;Alanus, Angel
spelunca;Alanus, Angel
spero;Biard, Petrus
spica;Alanus, Angel
spolium;Alanus, Angel
sporta;Alanus, Angel
stabulum;Alanus, Angel
stagnum;Alanus, Angel
statura;Alanus, Angel
sterilis;Alanus, Angel
stillicidium;Alanus, Angel
stipula;Alanus, Angel
struthio;Alanus, Angel
studium;Biard, Maurit
stulticia;Biard, Maurit
subiectio;Maurit, Petrus
sudarium;Alanus, Petrus
sulcus;Alanus, Angel
sulphur;Alanus, Angel
superbus;Angel, Biard
sus;Alanus, Angel
suscito;Alanus, Petrus
sycomorus;Alanus, Angel
syon;Alanus, Petrus
tabesco;Alanus, Maurit
tabula;Alanus, Angel
taciturnitas;Biard, Petrus
tantus;Alanus, Petrus
tectum;Alanus, Angel
tedium;Biard, Maurit
telum;Alanus, Angel
tempestas;Alanus, Maurit
temporalis;Biard, Petrus
tentorium;Alanus, Angel
terribilis;Alanus, Biard
testa;Alanus, Angel
testamentum;Alanus, Petrus
thalamus;Alanus, Angel
thesaurizo;Alanus, Biard
thorax;Alanus, Angel
thronus;Alanus, Angel
thuribulum;Alanus, Angel
thymiamum;Alanus, Angel
tignum;Alanus, Angel
tigris;Alanus, Angel
timeo;Biard, Petrus
titulus;Alanus, Petrus
tollo;Alanus, Petrus
tonitrus;Alanus, Angel
torcular;Alanus, Angel
trado;Alanus, Biard
transfiguro;Alanus, Petrus
tribulus;Alanus, Angel
tribuo;Alanus, Maurit
triplex;Biard, Petrus
tripliciter;Biard, Petrus
triumpho;Alanus, Petrus
trulla;Alanus, Angel
truncus;Alanus, Angel
tunc;Alanus, Gorran
turbo;Alanus, Biard
turtur;Alanus, Angel
tympanum;Alanus, Angel
u;Biard, Maurit
uado;Alanus, Gorran
uagina;Alanus, Angel
uallis;Alanus, Angel
uapor;Alanus, Angel
ue;Alanus, Maurit
uectis;Alanus, Angel
uelamen;Alanus, Petrus
uelamentum;Alanus, Maurit
uena;Alanus, Angel
uenatio;Maurit, Petrus
uenator;Biard, Petrus
uenenum;Alanus, Angel
uentilabrum;Alanus, Angel
ueper;Alanus, Angel
uerax;Alanus, Petrus
uerecundia;Alanus, Maurit
uertex;Alanus, Angel
uespera;Angel, Petrus
uestio;Alanus, Gorran
uetus;Alanus, Petrus
uicium;Biard, Petrus
uiduus;Alanus, Angel
uigilia;Alanus, Petrus
uilla;Alanus, Angel
uilua;Alanus, Angel
uiror;Alanus, Maurit
uiscus;Alanus, Angel
uisito;Alanus, Biard
uito;Biard, Petrus
uitrum;Alanus, Angel
uitta;Alanus, Angel
uitula;Alanus, Angel
uiuo;Alanus, Biard
ulmus;Alanus, Angel
umbilicus;Alanus, Angel
unctio;Biard, Petrus
ungula;Alanus, Angel
uocalis;Alanus, Biard
uolucer;Angel, Biard
uoluptas;Alanus, Maurit
uomer;Alanus, Angel
ursus;Alanus, Angel
urtica;Alanus, Angel
usura;Alanus, Petrus
uter;Alanus, Angel
utilis;Biard, Petrus
utilitas;Biard, Maurit
utor;Alanus, Biard
uua;Alanus, Angel
uulpis;Angel, Petrus
uultur;Alanus, Angel
uultus;Alanus, Angel
uuuentus;Alanus, Petrus
uuum;Alanus, Angel
ydria;Angel, Maurit
ydropicus;Angel, Petrus
ypocrisis;Maurit, Petrus
zizania;Alanus, Angel
