,lemma,source,collection_count,is_unique
400,hinnulus,anonymous_angelus.predicted_лем.csv,2.0,False
401,hinnitus,anonymous_angelus.predicted_лем.csv,1.0,True
402,Hirundus,anonymous_angelus.predicted_лем.csv,1.0,True
403,hircus,anonymous_angelus.predicted_лем.csv,2.0,False
404,homo,anonymous_angelus.predicted_лем.csv,5.0,False
405,horribilis,anonymous_angelus.predicted_лем.csv,1.0,True
406,humus,anonymous_angelus.predicted_лем.csv,3.0,False
407,humilitas,anonymous_angelus.predicted_лем.csv,7.0,False
408,humor,anonymous_angelus.predicted_лем.csv,2.0,False
409,humerulus,anonymous_angelus.predicted_лем.csv,1.0,True
410,humerus,anonymous_angelus.predicted_лем.csv,3.0,False
411,holocaustum,anonymous_angelus.predicted_лем.csv,2.0,False
412,Herodes,anonymous_angelus.predicted_лем.csv,2.0,False
413,hodie,anonymous_angelus.predicted_лем.csv,2.0,False
414,gigno,anonymous_angelus.predicted_лем.csv,1.0,True
415,Iacinctus,anonymous_angelus.predicted_лем.csv,1.0,True
416,iaspis,anonymous_angelus.predicted_лем.csv,2.0,False
417,ianua,anonymous_angelus.predicted_лем.csv,3.0,False
418,Ibices,anonymous_angelus.predicted_лем.csv,1.0,True
419,Idumaea,anonymous_angelus.predicted_лем.csv,1.0,True
420,Ierusalem,anonymous_angelus.predicted_лем.csv,3.0,False
421,ignis,anonymous_angelus.predicted_лем.csv,6.0,False
422,imago,anonymous_angelus.predicted_лем.csv,3.0,False
423,impetigo,anonymous_angelus.predicted_лем.csv,1.0,True
424,impius,anonymous_angelus.predicted_лем.csv,2.0,False
425,imber,anonymous_angelus.predicted_лем.csv,3.0,False
426,incus,anonymous_angelus.predicted_лем.csv,1.0,True
427,India,anonymous_angelus.predicted_лем.csv,1.0,True
428,inaura,anonymous_angelus.predicted_лем.csv,1.0,True
429,infans,anonymous_angelus.predicted_лем.csv,1.0,True
430,infernus,anonymous_angelus.predicted_лем.csv,4.0,False
431,insula,anonymous_angelus.predicted_лем.csv,2.0,False
432,intestino,anonymous_angelus.predicted_лем.csv,1.0,True
433,institor,anonymous_angelus.predicted_лем.csv,2.0,False
434,Iordanis,anonymous_angelus.predicted_лем.csv,2.0,False
435,iuncus,anonymous_angelus.predicted_лем.csv,2.0,False
436,Iuniperus,anonymous_angelus.predicted_лем.csv,1.0,True
437,iugum,anonymous_angelus.predicted_лем.csv,6.0,False
438,iustitia,anonymous_angelus.predicted_лем.csv,5.0,False
439,iudex,anonymous_angelus.predicted_лем.csv,3.0,False
440,iudicium,anonymous_angelus.predicted_лем.csv,7.0,False
441,iumentum,anonymous_angelus.predicted_лем.csv,4.0,False
